Property Address,Tax Roll,legal_desc,assessed_value_CAD,land_use,classifications,parcel_area (m2),year_built,living_area_above_grade_ft2,bldg_desc,finished_below_grade,garage,deck,veranda,fireplace,walkout_basement
206 1530 BAYSIDE AV SW,855878,Plan: 1511490 Block/Unit: 13 Lot:,302000,R4 Mid Rise Multifamily Residential District,Condominium,145,2015,1264,2 Storey,Yes,Yes,Yes,No,Yes,No
110 BAYSIDE LP SW,853863,Plan: 1313368 Block/Unit: 7 Lot: 13,404000,R1 Single Detached Residential District,Single Family Dwelling,381,2015,1731,2 Storey,None,Yes,Yes,Yes,None,No
501 1530 BAYSIDE AV SW,855887,Plan: 1511490 Block/Unit: 21 Lot:,309000,R4 Mid Rise Multifamily Residential District,Condominium,106,2015,1254,2 Storey,Yes,Yes,Yes,No,Yes,No
2310 BAYWATER CR SW,849971,Plan: 1112436 Block/Unit: 27 Lot: 6,411000,R2 Low Density Residential District,Duplex,434,2011,1886,2 Storey,None,Yes,Yes,Yes,Yes,No
1079 BAYSIDE DR SW,857272,Plan: 1610755 Block/Unit: 4 Lot: 69,673000,R1 Single Detached Residential District,Single Family Dwelling,651,2016,1615,Bungalow,Yes,Yes,Yes,Yes,Yes,Yes
205 BAYSIDE PT SW,820132,Plan: 0713783 Block/Unit: 4 Lot:,243000,DC-08,Condominium,129,2005,1229,2 Storey,None,Yes,Yes,Yes,None,No
109 BAYSIDE LP SW,853862,Plan: 1313368 Block/Unit: 6 Lot: 16,487000,R1 Single Detached Residential District,Single Family Dwelling,401,2015,1892,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
17 BAYWATER LN SW,854068,Plan: 1410328 Block/Unit: 12 Lot: 9,465000,R1 Single Detached Residential District,Single Family Dwelling,390,2016,2432,2 Storey,None,Yes,No,Yes,Yes,No
279 BAYWATER WY SW,854195,Plan: 1410328 Block/Unit: 12 Lot: 18,483000,R1 Single Detached Residential District,Single Family Dwelling,390,2016,2109,2 Storey,None,Yes,Yes,Yes,Yes,No
25 BAYWATER LN SW,854072,Plan: 1410328 Block/Unit: 12 Lot: 7,465000,R1 Single Detached Residential District,Single Family Dwelling,390,2016,2432,2 Storey,None,Yes,No,Yes,Yes,No
959 BAYSIDE DR SW,840466,Plan: 0413806 Block/Unit: 4 Lot: 39,491000,R1 Single Detached Residential District,Single Family Dwelling,596,2005,1356,Bungalow,Yes,Yes,Yes,Yes,Yes,Yes
1747 BAYWATER VW SW,854145,Plan: 1410328 Block/Unit: 13 Lot: 12,506000,R1 Single Detached Residential District,Single Family Dwelling,396,2015,2261,2 Storey,Yes,Yes,No,Yes,Yes,No
275 BAYWATER WY SW,854193,Plan: 1410328 Block/Unit: 12 Lot: 19,436000,R1 Single Detached Residential District,Single Family Dwelling,390,2016,2002,2 Storey,None,Yes,Yes,Yes,Yes,No
218 BAYWATER WY SW,854169,Plan: 1410328 Block/Unit: 16 Lot: 63,597000,R1 Single Detached Residential District,Single Family Dwelling,488,2016,2432,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
133 BAYWATER WY SW,854146,Plan: 1410328 Block/Unit: 15 Lot: 21,476000,R1 Single Detached Residential District,Single Family Dwelling,394,2015,2087,2 Storey,None,Yes,Yes,Yes,Yes,No
309 BAYSIDE PL SW,820021,Plan: 0212881 Block/Unit: 1 Lot: 22,393000,R1 Single Detached Residential District,Single Family Dwelling,400,2002,1800,2 Storey,Yes,Yes,Yes,No,Yes,No
202 1530 BAYSIDE AV SW,855874,Plan: 1511490 Block/Unit: 9 Lot:,302000,R4 Mid Rise Multifamily Residential District,Condominium,144,2015,1264,2 Storey,Yes,Yes,Yes,No,Yes,No
5 BAYWATER LN SW,854062,Plan: 1410328 Block/Unit: 12 Lot: 12,465000,R1 Single Detached Residential District,Single Family Dwelling,390,2016,2432,2 Storey,None,Yes,None,None,Yes,No
294 BAYWATER WY SW,854202,Plan: 1410328 Block/Unit: 16 Lot: 44,465000,R1 Single Detached Residential District,Single Family Dwelling,434,2016,2261,2 Storey,None,Yes,Yes,Yes,Yes,No
2253 BAYSIDE RD SW,853940,Plan: 1313368 Block/Unit: 5 Lot: 61,661000,R1 Single Detached Residential District,Single Family Dwelling,602,2016,1606,Bungalow,Yes,Yes,Yes,Yes,Yes,Yes
502 1530 BAYSIDE AV SW,855888,Plan: 1511490 Block/Unit: 22 Lot:,300000,R4 Mid Rise Multifamily Residential District,Condominium,105,2015,1264,2 Storey,Yes,Yes,Yes,No,Yes,No
117 BAYWATER WY SW,845119,Plan: 0714427 Block/Unit: 15 Lot: 4,418000,R1 Single Detached Residential District,Single Family Dwelling,394,2011,1979,2 Storey,None,Yes,Yes,Yes,Yes,No
329 BAYSIDE CR SW,857215,Plan: 1610755 Block/Unit: 5 Lot: 86,631000,R1 Single Detached Residential District,Single Family Dwelling,683,2016,1574,Bungalow,Yes,Yes,Yes,Yes,Yes,Yes
1027 BAYSIDE DR SW,857259,Plan: 1610755 Block/Unit: 4 Lot: 56,574000,R1 Single Detached Residential District,Single Family Dwelling,573,2016,2064,2 Storey,None,Yes,Yes,Yes,Yes,Yes
234 BAYWATER WY SW,854175,Plan: 1410328 Block/Unit: 16 Lot: 59,590000,R1 Single Detached Residential District,Single Family Dwelling,655,2016,2432,2 Storey,Yes,Yes,Yes,Yes,Yes,No
2 BAYSIDE PR SW,853907,Plan: 1313368 Block/Unit: 7 Lot: 15,458000,R1 Single Detached Residential District,Single Family Dwelling,457,2016,1405,Bungalow,None,Yes,No,Yes,Yes,No
2201 BAYSIDE CI SW,846664,Plan: 0911011 Block/Unit: 25 Lot: 69,552000,R1 Single Detached Residential District,Single Family Dwelling,600,2015,2443,2 Storey,None,Yes,Yes,Yes,Yes,No
235 BAYSIDE LD SW,840518,Plan: 0413806 Block/Unit: 5 Lot: 10,520000,R1 Single Detached Residential District,Single Family Dwelling,716,2005,2190,2 Storey,Yes,Yes,Yes,No,Yes,Yes
1931 BAYWATER AL SW,849961,Plan: 1112436 Block/Unit: 29 Lot: 3,378000,R2 Low Density Residential District,Duplex,351,2013,1811,2 Storey,None,Yes,Yes,Yes,Yes,No
217 BAYSIDE PT SW,820138,Plan: 0713783 Block/Unit: 10 Lot:,265000,DC-08,Condominium,129,2005,1229,2 Storey,Yes,Yes,Yes,Yes,Yes,No
11 BAYSIDE CV SW,857252,Plan: 1610755 Block/Unit: 9 Lot: 21,557000,R1 Single Detached Residential District,Single Family Dwelling,676,2016,2384,2 Storey,Yes,Yes,Yes,Yes,Yes,No
207 1530 BAYSIDE AV SW,855879,Plan: 1511490 Block/Unit: 14 Lot:,311000,R4 Mid Rise Multifamily Residential District,Condominium,176,2015,1272,2 Storey,Yes,Yes,Yes,No,Yes,No
305 BAYSIDE CR SW,857203,Plan: 1610755 Block/Unit: 5 Lot: 80,560000,R1 Single Detached Residential District,Single Family Dwelling,533,2016,2503,2 Storey,None,Yes,Yes,Yes,Yes,No
503 1530 BAYSIDE AV SW,855889,Plan: 1511490 Block/Unit: 23 Lot:,302000,R4 Mid Rise Multifamily Residential District,Condominium,105,2015,1264,2 Storey,Yes,Yes,Yes,No,Yes,No
501 BAYSIDE RO SW,857329,Plan: 1610755 Block/Unit: 9 Lot: 1,506000,R1 Single Detached Residential District,Single Family Dwelling,472,2016,2033,2 Storey,None,Yes,Yes,Yes,Yes,No
1734 BAYWATER VW SW,854138,Plan: 1410328 Block/Unit: 15 Lot: 16,472000,R1 Single Detached Residential District,Single Family Dwelling,372,2015,2087,2 Storey,None,Yes,Yes,Yes,Yes,No
1706 BAYWATER ST SW,845042,Plan: 0714427 Block/Unit: 10 Lot: 51,582000,R1 Single Detached Residential District,Single Family Dwelling,439,2010,2415,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
304 1530 BAYSIDE AV SW,855883,Plan: 1511490 Block/Unit: 4 Lot:,302000,R4 Mid Rise Multifamily Residential District,Condominium,144,2015,1264,2 Storey,Yes,Yes,Yes,No,Yes,No
2282 BAYSIDE RD SW,853955,Plan: 1313368 Block/Unit: 7 Lot: 9,475000,R1 Single Detached Residential District,Single Family Dwelling,398,2016,2074,2 Storey,None,Yes,Yes,Yes,Yes,No
267 BAYWATER WY SW,854189,Plan: 1410328 Block/Unit: 12 Lot: 21,462000,R1 Single Detached Residential District,Single Family Dwelling,390,2016,1921,2 Storey,None,Yes,Yes,Yes,Yes,No
1743 BAYWATER VW SW,854143,Plan: 1410328 Block/Unit: 13 Lot: 11,411000,R1 Single Detached Residential District,Single Family Dwelling,372,2015,1731,2 Storey,None,Yes,Yes,Yes,Yes,No
2285 BAYSIDE RD SW,853956,Plan: 1313368 Block/Unit: 5 Lot: 53,642000,R1 Single Detached Residential District,Single Family Dwelling,627,2016,1564,Bungalow,Yes,Yes,Yes,Yes,Yes,No
15 BAYSIDE CV SW,857253,Plan: 1610755 Block/Unit: 9 Lot: 22,654000,R1 Single Detached Residential District,Single Family Dwelling,572,2016,2542,2 Storey,None,Yes,Yes,Yes,Yes,No
2317 BAYSIDE CI SW,846716,Plan: 0911011 Block/Unit: 25 Lot: 40,627000,R1 Single Detached Residential District,Single Family Dwelling,488,2015,2486,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
23 BAYSIDE CV SW,857255,Plan: 1610755 Block/Unit: 9 Lot: 24,507000,R1 Single Detached Residential District,Single Family Dwelling,630,2016,1359,Bungalow,Yes,Yes,No,Yes,Yes,No
329 BAYSIDE PL SW,820026,Plan: 0212881 Block/Unit: 1 Lot: 27,399000,R1 Single Detached Residential District,Single Family Dwelling,893,2007,1690,2 Storey,None,Yes,Yes,Yes,Yes,No
2232 BAYSIDE CI SW,846678,Plan: 0911011 Block/Unit: 26 Lot: 22,528000,R1 Single Detached Residential District,Single Family Dwelling,450,2012,2490,2 Storey,None,Yes,Yes,Yes,Yes,No
154 BAYWATER WY SW,854153,Plan: 1410328 Block/Unit: 16 Lot: 79,544000,R1 Single Detached Residential District,Single Family Dwelling,900,2016,1428,Bungalow,Yes,Yes,Yes,Yes,Yes,Yes
194 BAYWATER WY SW,854163,Plan: 1410328 Block/Unit: 16 Lot: 69,569000,R1 Single Detached Residential District,Single Family Dwelling,488,2016,2432,2 Storey,None,Yes,Yes,Yes,Yes,Yes
263 BAYWATER WY SW,854187,Plan: 1410328 Block/Unit: 12 Lot: 22,443000,R1 Single Detached Residential District,Single Family Dwelling,390,2016,1725,2 Storey,None,Yes,Yes,Yes,Yes,No
6 BAYSIDE PR SW,853908,Plan: 1313368 Block/Unit: 7 Lot: 16,487000,R1 Single Detached Residential District,Single Family Dwelling,430,2016,2155,2 Storey,None,Yes,Yes,Yes,Yes,No
1334 BAYSIDE DR SW,853838,Plan: 1313368 Block/Unit: 6 Lot: 59,428000,R1 Single Detached Residential District,Single Family Dwelling,447,2014,1929,2 Storey,None,Yes,Yes,Yes,Yes,No
1135 2370 BAYSIDE RD SW,846788,Plan: 0911339 Block/Unit: 26 Lot:,241000,R3 Low Rise Multifamily Residential District,Condominium,128,2008,1378,Apartment,None,None,None,None,None,No
301 1530 BAYSIDE AV SW,855880,Plan: 1511490 Block/Unit: 1 Lot:,303000,R4 Mid Rise Multifamily Residential District,Condominium,174,2015,1272,2 Storey,Yes,Yes,Yes,No,None,No
517 BAYSIDE RO SW,857333,Plan: 1610755 Block/Unit: 9 Lot: 5,498000,R1 Single Detached Residential District,Single Family Dwelling,383,2016,2203,2 Storey,Yes,Yes,Yes,Yes,Yes,No
1813 BAYWATER GD SW,844970,Plan: 0714427 Block/Unit: 17 Lot: 6,369000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,322,2009,1601,2 Storey,None,Yes,Yes,Yes,Yes,No
2394 BAYWATER CR SW,850031,Plan: 1112436 Block/Unit: 27 Lot: 48,360000,R2 Low Density Residential District,Duplex,356,2013,1510,2 Storey,Yes,Yes,Yes,Yes,Yes,No
337 BAYSIDE CR SW,857217,Plan: 1610755 Block/Unit: 5 Lot: 88,739000,R1 Single Detached Residential District,Single Family Dwelling,842,2016,2670,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
1116 2370 BAYSIDE RD SW,846774,Plan: 0911339 Block/Unit: 16 Lot:,178000,R3 Low Rise Multifamily Residential District,Condominium,87,2008,942,Apartment,None,None,Yes,No,None,No
1906 BAYWATER AL SW,849936,Plan: 1112436 Block/Unit: 28 Lot: 19,382000,R2 Low Density Residential District,Duplex,363,2013,1890,2 Storey,None,Yes,Yes,Yes,Yes,No
128 BAYSIDE LD SW,840490,Plan: 0413806 Block/Unit: 5 Lot: 25,531000,R1 Single Detached Residential District,Single Family Dwelling,496,2005,2078,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
302 1530 BAYSIDE AV SW,855881,Plan: 1511490 Block/Unit: 2 Lot:,302000,R4 Mid Rise Multifamily Residential District,Condominium,143,2015,1264,2 Storey,Yes,Yes,Yes,No,Yes,No
2269 BAYSIDE RD SW,853948,Plan: 1313368 Block/Unit: 5 Lot: 57,585000,R1 Single Detached Residential District,Single Family Dwelling,627,2016,2169,2 Storey,None,Yes,Yes,Yes,Yes,Yes
161 BAYSIDE PT SW,820122,Plan: 0713782 Block/Unit: 14 Lot:,258000,DC-08,Condominium,129,2005,1199,2 Storey,Yes,Yes,Yes,Yes,None,No
4004 2370 BAYSIDE RD SW,846969,Plan: 0911339 Block/Unit: 210 Lot:,304000,R3 Low Rise Multifamily Residential District,Condominium,128,2008,1387,2 Storey,Yes,Yes,Yes,Yes,Yes,No
125 BAYWATER WY SW,845123,Plan: 0714427 Block/Unit: 15 Lot: 2,411000,R1 Single Detached Residential District,Single Family Dwelling,394,2010,1932,2 Storey,None,Yes,Yes,Yes,Yes,No
1063 BAYSIDE DR SW,857268,Plan: 1610755 Block/Unit: 4 Lot: 65,702000,R1 Single Detached Residential District,Single Family Dwelling,645,2016,2542,2 Storey,None,Yes,Yes,Yes,Yes,Yes
2375 BAYWATER CR SW,850021,Plan: 1112436 Block/Unit: 29 Lot: 36,327000,R2 Low Density Residential District,Duplex,353,2013,1313,2 Storey,None,Yes,Yes,Yes,Yes,No
255 BAYWATER WY SW,854183,Plan: 1410328 Block/Unit: 12 Lot: 24,463000,R1 Single Detached Residential District,Single Family Dwelling,390,2016,1951,2 Storey,None,Yes,Yes,Yes,Yes,No
1075 BAYSIDE DR SW,857271,Plan: 1610755 Block/Unit: 4 Lot: 68,647000,R1 Single Detached Residential District,Single Family Dwelling,639,2016,1763,Bungalow,Yes,Yes,Yes,Yes,Yes,Yes
194 BAYWATER RI SW,845016,Plan: 0714427 Block/Unit: 17 Lot: 12,406000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,349,2007,1847,2 Storey,Yes,Yes,Yes,Yes,Yes,No
317 BAYSIDE CR SW,857209,Plan: 1610755 Block/Unit: 5 Lot: 83,679000,R1 Single Detached Residential District,Single Family Dwelling,533,2016,2772,2 Storey,None,Yes,Yes,Yes,Yes,No
271 BAYWATER WY SW,854191,Plan: 1410328 Block/Unit: 12 Lot: 20,432000,R1 Single Detached Residential District,Single Family Dwelling,390,2016,1951,2 Storey,None,Yes,Yes,Yes,Yes,No
2273 BAYSIDE RD SW,853950,Plan: 1313368 Block/Unit: 5 Lot: 56,625000,R1 Single Detached Residential District,Single Family Dwelling,627,2016,1685,Bungalow,Yes,Yes,Yes,Yes,Yes,Yes
1729 BAYWATER DR SW,850052,Plan: 1112436 Block/Unit: 28 Lot: 14,410000,R1 Single Detached Residential District,Single Family Dwelling,405,2014,1731,2 Storey,None,Yes,Yes,Yes,Yes,No
16 BAYSIDE LI SW,846164,Plan: 0814491 Block/Unit: 25 Lot: 4,663000,R1 Single Detached Residential District,Single Family Dwelling,391,2012,2336,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
1 BAYWATER LN SW,854060,Plan: 1410328 Block/Unit: 12 Lot: 13,491000,R1 Single Detached Residential District,Single Family Dwelling,419,2016,2261,2 Storey,Yes,Yes,Yes,Yes,Yes,No
303 1530 BAYSIDE AV SW,855882,Plan: 1511490 Block/Unit: 3 Lot:,302000,R4 Mid Rise Multifamily Residential District,Condominium,144,2015,1264,2 Storey,Yes,Yes,Yes,No,Yes,No
2205 BAYSIDE CI SW,846666,Plan: 0911011 Block/Unit: 25 Lot: 68,524000,R1 Single Detached Residential District,Single Family Dwelling,519,2015,2196,2 Storey,None,Yes,Yes,Yes,Yes,No
14 BAYWATER LN SW,854067,Plan: 1410328 Block/Unit: 13 Lot: 21,422000,R1 Single Detached Residential District,Single Family Dwelling,390,2016,1812,2 Storey,None,Yes,Yes,Yes,Yes,No
203 1530 BAYSIDE AV SW,855875,Plan: 1511490 Block/Unit: 10 Lot:,288000,R4 Mid Rise Multifamily Residential District,Condominium,144,2015,1264,2 Storey,None,Yes,Yes,No,Yes,No
325 BAYSIDE PL SW,820025,Plan: 0212881 Block/Unit: 1 Lot: 26,407000,R1 Single Detached Residential District,Single Family Dwelling,630,2003,1812,2 Storey,Yes,Yes,Yes,No,Yes,No
1722 BAYWATER DR SW,850049,Plan: 1112436 Block/Unit: 11 Lot: 6,406000,R1 Single Detached Residential District,Single Family Dwelling,382,2012,1650,2 Storey,Yes,Yes,Yes,Yes,Yes,No
2337 BAYSIDE CI SW,846726,Plan: 0911011 Block/Unit: 25 Lot: 35,598000,R1 Single Detached Residential District,Single Family Dwelling,465,2015,2587,2 Storey,None,Yes,Yes,Yes,Yes,Yes
210 BAYSIDE LP SW,853893,Plan: 1313368 Block/Unit: 7 Lot: 28,559000,R1 Single Detached Residential District,Single Family Dwelling,495,2016,2542,2 Storey,Yes,Yes,Yes,Yes,Yes,No
2233 BAYSIDE RD SW,853934,Plan: 1313368 Block/Unit: 5 Lot: 65,735000,R1 Single Detached Residential District,Single Family Dwelling,622,2016,2666,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
1055 BAYSIDE DR SW,857266,Plan: 1610755 Block/Unit: 4 Lot: 63,734000,R1 Single Detached Residential District,Single Family Dwelling,635,2016,2689,2 Storey,Yes,Yes,Yes,Yes,Yes,No
1603 1530 BAYSIDE AV SW,855903,Plan: 1511490 Block/Unit: 37 Lot:,300000,R4 Mid Rise Multifamily Residential District,Condominium,146,2014,1264,2 Storey,Yes,Yes,Yes,No,Yes,No
254 BAYWATER WY SW,854182,Plan: 1410328 Block/Unit: 16 Lot: 54,417000,R1 Single Detached Residential District,Single Family Dwelling,369,2016,1731,2 Storey,None,Yes,Yes,Yes,Yes,No
306 1530 BAYSIDE AV SW,855885,Plan: 1511490 Block/Unit: 6 Lot:,302000,R4 Mid Rise Multifamily Residential District,Condominium,144,2015,1264,2 Storey,Yes,Yes,Yes,No,Yes,No
1857 BAYWATER ST SW,845088,Plan: 0714427 Block/Unit: 14 Lot: 7,393000,R1 Single Detached Residential District,Single Family Dwelling,528,2009,1647,2 Storey,None,Yes,Yes,No,Yes,No
602 1530 BAYSIDE AV SW,855894,Plan: 1511490 Block/Unit: 28 Lot:,293000,R4 Mid Rise Multifamily Residential District,Condominium,105,2014,1264,2 Storey,Yes,Yes,Yes,No,Yes,No
238 BAYWATER WY SW,854176,Plan: 1410328 Block/Unit: 16 Lot: 58,448000,R1 Single Detached Residential District,Single Family Dwelling,502,2017,1921,2 Storey,None,Yes,Yes,Yes,Yes,No
202 BAYWATER WY SW,854165,Plan: 1410328 Block/Unit: 16 Lot: 67,570000,R1 Single Detached Residential District,Single Family Dwelling,488,2016,2450,2 Storey,None,Yes,Yes,Yes,Yes,Yes
214 BAYSIDE LP SW,853895,Plan: 1313368 Block/Unit: 7 Lot: 29,623000,R1 Single Detached Residential District,Single Family Dwelling,422,2016,2498,2 Storey,Yes,Yes,Yes,Yes,Yes,No
208 BAYSIDE LD SW,840498,Plan: 0413806 Block/Unit: 5 Lot: 2,455000,R1 Single Detached Residential District,Single Family Dwelling,594,2005,2045,2 Storey,None,Yes,Yes,No,Yes,No
146 BAYWATER WY SW,854151,Plan: 1410328 Block/Unit: 16 Lot: 81,442000,R1 Single Detached Residential District,Single Family Dwelling,507,2015,1972,2 Storey,None,Yes,Yes,Yes,Yes,No
1834 BAYWATER ST SW,845082,Plan: 0714427 Block/Unit: 10 Lot: 20,575000,R1 Single Detached Residential District,Single Family Dwelling,381,2010,2515,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
13 BAYWATER LN SW,854066,Plan: 1410328 Block/Unit: 12 Lot: 10,447000,R1 Single Detached Residential District,Single Family Dwelling,390,2016,2087,2 Storey,None,Yes,Yes,Yes,Yes,No
63 BAYWATER CO SW,844949,Plan: 0714427 Block/Unit: 19 Lot: 26,502000,R1 Single Detached Residential District,Single Family Dwelling,381,2010,2263,2 Storey,Yes,Yes,Yes,Yes,Yes,No
1738 BAYWATER VW SW,854140,Plan: 1410328 Block/Unit: 15 Lot: 17,406000,R1 Single Detached Residential District,Single Family Dwelling,372,2015,1731,2 Storey,None,Yes,Yes,Yes,Yes,No
1687 BAYWATER PA SW,844984,Plan: 0714427 Block/Unit: 14 Lot: 4,413000,R1 Single Detached Residential District,Single Family Dwelling,372,2009,1829,2 Storey,Yes,Yes,Yes,No,Yes,No
307 1530 BAYSIDE AV SW,855886,Plan: 1511490 Block/Unit: 7 Lot:,296000,R4 Mid Rise Multifamily Residential District,Condominium,170,2015,1272,2 Storey,None,Yes,Yes,No,Yes,No
214 BAYSIDE PT SW,845831,Plan: 0715949 Block/Unit: 12 Lot:,286000,DC-08,Condominium,129,2007,1324,2 Storey,Yes,Yes,Yes,Yes,None,Yes
927 BAYSIDE DR SW,840458,Plan: 0413806 Block/Unit: 4 Lot: 31,507000,R1 Single Detached Residential District,Single Family Dwelling,577,2006,1850,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
242 BAYWATER WY SW,854177,Plan: 1410328 Block/Unit: 16 Lot: 57,417000,R1 Single Detached Residential District,Single Family Dwelling,376,2017,1725,2 Storey,None,Yes,Yes,Yes,Yes,No
361 BAYSIDE CR SW,857226,Plan: 1610755 Block/Unit: 5 Lot: 94,669000,R1 Single Detached Residential District,Single Family Dwelling,576,2016,2284,2 Storey,None,Yes,Yes,Yes,Yes,Yes
259 BAYWATER WY SW,854185,Plan: 1410328 Block/Unit: 12 Lot: 23,468000,R1 Single Detached Residential District,Single Family Dwelling,390,2016,2002,2 Storey,None,Yes,Yes,Yes,Yes,No
21 BAYWATER LN SW,854070,Plan: 1410328 Block/Unit: 12 Lot: 8,411000,R1 Single Detached Residential District,Single Family Dwelling,390,2016,1731,2 Storey,None,Yes,No,Yes,Yes,No
222 BAYSIDE CO SW,846658,Plan: 0911011 Block/Unit: 26 Lot: 42,499000,R1 Single Detached Residential District,Single Family Dwelling,577,2012,1915,2 Storey,None,Yes,Yes,Yes,Yes,No
2351 BAYWATER CR SW,849997,Plan: 1112436 Block/Unit: 29 Lot: 24,374000,R2 Low Density Residential District,Duplex,352,2012,1811,2 Storey,None,Yes,Yes,Yes,None,No
214 BAYWATER WY SW,854168,Plan: 1410328 Block/Unit: 16 Lot: 64,579000,R1 Single Detached Residential District,Single Family Dwelling,488,2016,2506,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
333 BAYSIDE CR SW,857216,Plan: 1610755 Block/Unit: 5 Lot: 87,869000,R1 Single Detached Residential District,Single Family Dwelling,829,2016,2950,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
158 BAYWATER WY SW,854154,Plan: 1410328 Block/Unit: 16 Lot: 78,566000,R1 Single Detached Residential District,Single Family Dwelling,534,2016,1529,Bungalow,Yes,Yes,Yes,Yes,Yes,Yes
251 BAYWATER WY SW,854181,Plan: 1410328 Block/Unit: 12 Lot: 25,462000,R1 Single Detached Residential District,Single Family Dwelling,390,2016,1921,2 Storey,None,Yes,Yes,Yes,Yes,No
1709 BAYWATER RD SW,845003,Plan: 0714427 Block/Unit: 20 Lot: 1,370000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,379,2009,1412,2 Storey,Yes,Yes,Yes,Yes,None,No
10 BAYSIDE PR SW,853909,Plan: 1313368 Block/Unit: 7 Lot: 17,422000,R1 Single Detached Residential District,Single Family Dwelling,594,2016,1241,Bi-Level,Yes,Yes,Yes,Yes,Yes,No
247 BAYWATER WY SW,854179,Plan: 1410328 Block/Unit: 12 Lot: 26,448000,R1 Single Detached Residential District,Single Family Dwelling,416,2016,2115,2 Storey,None,Yes,Yes,Yes,Yes,No
